P23025	Q9UBN7	non-interacting
P20585	Q00987	non-interacting
P04637	Q13823	non-interacting
Q07020	Q13573	non-interacting
Q13573	Q96A56	non-interacting
Q15029	Q9HAU5	non-interacting
Q9NX55	Q01844	non-interacting
P49903	P04637	non-interacting
P29353	O94906	non-interacting
Q05682	Q00987	non-interacting
P08047	P38936	non-interacting
P36956	P60896	non-interacting
P27695	P16403	non-interacting
Q12933	P14859	non-interacting
P62888	P01100	non-interacting
P17096	Q9NQB0	non-interacting
O00358	P49841	non-interacting
P15884	Q9GZT9	non-interacting
P35637	O00512	non-interacting
Q9UGL1	Q9BXP5	non-interacting
O95983	P29353	non-interacting
P40337	P00558	non-interacting
Q9NPB6	P09651	non-interacting
O60573	P35637	non-interacting
P02545	Q9Y2J2	non-interacting
Q13190	P08047	non-interacting
P19793	O15350	non-interacting
Q9BV79	Q00987	non-interacting
Q9Y5M8	P01100	non-interacting
Q14061	Q9UBB5	non-interacting
P61956	P20749	non-interacting
P54725	Q9BUQ8	non-interacting
Q9H944	Q09472	non-interacting
Q93009	Q01130	non-interacting
Q96EI5	Q01844	non-interacting
P24522	P46821	non-interacting
Q8TAE8	Q09472	non-interacting
Q15006	Q01844	non-interacting
P49354	P15884	non-interacting
P09529	Q00987	non-interacting
Q9NQC3	Q15022	non-interacting
Q9C0B0	Q13573	non-interacting
P38936	Q66K89	non-interacting
Q9UBN7	P35869	non-interacting
Q09472	O60941	non-interacting
P16455	Q13573	non-interacting
Q01844	Q96KC8	non-interacting
Q96GY3	Q00987	non-interacting
Q96DF8	P53350	non-interacting
P61081	P60896	non-interacting
P61247	Q01844	non-interacting
Q14686	P61244	non-interacting
P60896	P09874	non-interacting
P48556	P40337	non-interacting
P25054	P08047	non-interacting
P52272	Q9UER7	non-interacting
Q8WZ42	P56524	non-interacting
Q00872	Q01844	non-interacting
Q9H992	P04637	non-interacting
Q9Y5B0	Q16143	non-interacting
P61218	Q13573	non-interacting
P09651	Q96RN5	non-interacting
P08397	P04637	non-interacting
P53350	Q8IXT5	non-interacting
Q7Z7A1	P04637	non-interacting
P46527	O60506	non-interacting
Q92831	P80723	non-interacting
P20226	P07900	non-interacting
Q86V81	Q9UKV8	non-interacting
Q969G3	P19793	non-interacting
P04150	Q12996	non-interacting
Q15459	Q09161	non-interacting
Q9H832	Q7L5N1	non-interacting
Q00987	P13797	non-interacting
Q9NRA8	Q13573	non-interacting
P18847	P09651	non-interacting
O14733	P51946	non-interacting
Q9H0C8	P04637	non-interacting
Q8N3R9	P38936	non-interacting
P20749	P35637	non-interacting
P18754	Q01844	non-interacting
O15350	P42677	non-interacting
Q9H410	P40337	non-interacting
Q9NRR5	Q01844	non-interacting
Q15544	P40337	non-interacting
Q9Y4B4	P04637	non-interacting
Q09161	Q7L5N1	non-interacting
Q96FV9	P38936	non-interacting
O95863	O15350	non-interacting
Q6ZRS2	P49841	non-interacting
O60506	P19793	non-interacting
Q14151	P29353	non-interacting
Q96GX5	P04637	non-interacting
Q9H223	P04150	non-interacting
P14635	Q5T749	non-interacting
O75340	Q09161	non-interacting
P52298	P10276	non-interacting
P18615	P09651	non-interacting
P25963	P06401	non-interacting
P46531	P20823	non-interacting
P49757	P35637	non-interacting
Q68CL5	P04637	non-interacting
Q9UKV8	O60684	non-interacting
Q15020	P54725	non-interacting
P02686	P06748	non-interacting
Q99759	P38936	non-interacting
Q8N488	Q13526	non-interacting
Q9NQL2	Q00987	non-interacting
P10276	Q92793	non-interacting
O15156	Q13573	non-interacting
Q9H3U1	Q01844	non-interacting
Q5VWP3	P53350	non-interacting
Q49AN0	P04075	non-interacting
O95816	Q13573	non-interacting
O75391	P35637	non-interacting
P49841	Q99728	non-interacting
Q9BZV1	Q13573	non-interacting
Q9UBE0	P35222	non-interacting
Q96CS3	P09651	non-interacting
Q13131	O15169	non-interacting
P35611	Q8WZ42	non-interacting
O95425	P46531	non-interacting
Q9H0E9	Q09161	non-interacting
Q9UER7	Q13620	non-interacting
P17480	P40337	non-interacting
O14965	Q9NQC3	non-interacting
Q9BWU0	Q93009	non-interacting
Q16637	P01100	non-interacting
O75376	Q14191	non-interacting
P37840	P63208	non-interacting
